,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,created_at
56,Kjarninn,"Kjarninn er íslenskur fréttaskýrandi með áherslu á staðreyndir. Stjórnmál, efnahagsmál, viðskipti og allt annað sem vekur áhuga kemur Kjarnanum við.",Reykjavik,218,11914,26068,1,50 störf hjá Össuri frá Íslandi til Mexíkó https://t.co/jQV60lwE0l,[],2017-09-29 23:30:04
57,PAOLOBONFIGLIOL,"Quando la lingua si corrompe, la gente perde fiducia in quel che sente e questo genera violenza - auden",BOLOGNA -Italy,518,395,24917,0,RT @asattn: #TRENTO #30settembre ore 10.00 #Bitm il futuro del turismo fra locale e globale con vice presidente @asattn #giannibattaiola ht…,"['TRENTO', '30settembre', 'Bitm', 'giannibattaiola']",2017-09-29 23:28:29
58,LDSAlvaro,,Montañero de la Ceja ANT,23535,24934,216392,0,RT @paisayfutbol: Mi verdolaga favorita que hasta en el apellido lleva el verde FrA/Nco 😍💚💚💚 @CaritoAM2 #QueVivaNacional,['QueVivaNacional'],2017-09-29 23:27:12
59,BabouYann,Les apparences nous mentent donc t'étonne pas quand les masques ils tombent... #JNVPQDB #Barcelonais #Congolais 🇨🇬 Insta: _don_corleonne_ Snap: le_visionnaire,,193,373,151195,0,"RT @fcbarcelona_fra: 🎥🔵🔴Le Barça prépare la réception de Las Palmas, dimanche en Liga #ForçaBarça  https://t.co/WJcOJ983GF",['ForçaBarça'],2017-09-29 23:26:35
60,BabouYann,Les apparences nous mentent donc t'étonne pas quand les masques ils tombent... #JNVPQDB #Barcelonais #Congolais 🇨🇬 Insta: _don_corleonne_ Snap: le_visionnaire,,193,373,151195,0,"RT @fcbarcelona_fra: G⚽️AL MORNING!!
 Il y a 2️⃣4️⃣ ans !
Laudrup 🆚 Dynamo Kiev https://t.co/66IN3QPfUz",[],2017-09-29 23:26:33
61,MariaAn93639006,E chissà dove finisce il mare dove la gente traccia il suo confine.Oltre il quale non ci sono strade dove non chiudi gli occhi per sognare.,"Piedimonte Matese, Campania",1359,772,53087,0,RT @MariaAn93639006: Fra luce e nuvole di miele fra luce e nuvole di miele  fra luce e nuvole di miele #MTVEMA #NominoErmalMeta,"['MTVEMA', 'NominoErmalMeta']",2017-09-29 23:26:21
62,Fovsman,Social Mbalagueur - Former Viner - CEO & Founder De Mes Conneries - Qui Mème Me Suive - Depressed @acmilan Fan 🔴⚫ - @jksheva7 ❤️,Dakar - Sénégal 🇸🇳🇮🇹,3115,19542,144030,0,"RT @acmilan_fra: Joyeux anniversaire à notre ballon d'or (2004), une de nos légende, Andriy Shevchenko dit Sheva ❤️⚫️ https://t.co/7Mpcdzq7…",[],2017-09-29 23:26:15
63,gnomeuser,"Acclaimed beta tester of iOS and OS X software, hearts dachshunds, iPads. White, hetero, cis male. Socialist scum, maker of meatballs. http://pronoun.is/he",,402,327,37791,0,"RT @CSZT: Hej @EkstraBladet, I er klar over at det er Lisbeth Dahl udklædt som Annette Vilhelmsen i Cirkusrevyen, ikke? #dkmedier #Dkpol (i…","['dkmedier', 'Dkpol']",2017-09-29 23:26:15
64,jobakke,"Linux, OSX & M$. Opensource, photo & video, Pentax, Canon, GoPro & Nokia. 
Arctic Norway - and a good portion of arctic  weather.",Sted: 9000-byen (sånn ca),124,114,792,0,Bilde fra Griegs klaverkonsert i a-moll samt Tsjaikovskijs 5.symf. på #kulturhuset i #Tromsø. Framført av NOSO med… https://t.co/vCuZREzSC7,"['kulturhuset', 'Tromsø']",2017-09-29 23:26:00
65,franc3rmal,"ho bisogno di forza per diventare debole, qualche cicatrice a cui attaccare le ali, anima da lupa (di Ermal) 💛🐺","Torino, Piemonte",251,731,11951,0,RT @MariaAn93639006: Fra luce e nuvole di miele fra luce e nuvole di miele  fra luce e nuvole di miele #MTVEMA #NominoErmalMeta,"['MTVEMA', 'NominoErmalMeta']",2017-09-29 23:25:51
